trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,1530,0,394582,0,0.005411636084318161,0.021441861987113953,0,72913624.24450892
1,1527,0,397495,0,0.00560528039932251,0.021549776196479797,0,70914382.81090163
2,1535,0,398021,0,0.005325257778167725,0.021402254700660706,0,74742109.50534457
3,1555,0,396584,0,0.005402818322181702,0.021553438156843185,0,73403171.52101761
4,1569,0,398339,0,0.005485881119966507,0.021693155169487,0,72611671.9063048
5,1550,0,396048,0,0.0052584148943424225,0.021273549646139145,0,75316993.42060508
6,1540,0,394172,0,0.005440015345811844,0.0213162899017334,0,72457883.83730662
7,1537,0,396529,0,0.006167016923427582,0.021465398371219635,0,64298347.95712092
8,1539,0,400502,0,0.005566883832216263,0.021554235368967056,0,71943660.41594835
9,1514,0,394033,0,0.005544442683458328,0.021190151572227478,0,71068098.7244372
