trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,613,0,85977,0,0.004753492772579193,0.0073306262493133545,0,18087121.220834386
1,619,0,86955,0,0.0053422823548316956,0.007212948054075241,0,16276751.063401898
2,616,0,86356,0,0.0042913444340229034,0.007680963724851608,0,20123297.332031194
3,623,0,87279,0,0.0045151486992836,0.007405776530504227,0,19330260.377437446
4,610,0,86430,0,0.004633739590644836,0.007476005703210831,0,18652321.372244466
5,612,0,86397,0,0.0047229379415512085,0.007211029529571533,0,18293062.72265429
6,607,0,87092,0,0.004456829279661179,0.007899682968854904,0,19541246.598214097
7,619,0,87100,0,0.004507008939981461,0.007502030581235886,0,19325455.34297482
8,618,0,86678,0,0.004243098199367523,0.007423710078001022,0,20427997.639300507
9,613,0,87281,0,0.004504181444644928,0.007471360266208649,0,19377771.76000966
