alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,439.42644846154343,315,25319.88154978337,233673.0411953302
0.55,480.6628237194526,347,29068.960619825215,273784.1341469393
0.6,521.4194218879492,378,33237.02187124878,319630.5020147216
0.65,561.710136249515,410,37936.800346817254,372710.77697615966
0.7,601.5567750609581,441,43334.038978359735,435201.33580627845
0.75,640.9945899113978,473,49687.00212549089,510444.89333710755
0.8,680.1330384064132,504,57442.44933171272,604116.9466965611
0.85,719.7000299930393,536,67400.60732089532,730441.7283790768
0.9,758.8250759611574,567,81471.59660613422,907189.8686502636
0.95,798.7736553653233,599,105997.38143617834,1212410.1946619113
