alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,16648.781047498494,12945,6522978.533176486,3264966685.017869
0.55,18171.849200735167,14240,7474979.435603727,3762433799.0334334
0.6,19672.687017163636,15534,8531032.34262285,4318773171.607798
0.65,21151.992782503807,16829,9719187.726915464,4949693058.821899
0.7,22610.947983397375,18124,11080431.465324763,5678109992.652472
0.75,24050.833813115074,19418,12678605.51135733,6539705278.606056
0.8,25473.597835798864,20713,14620820.462912217,7594236357.584569
0.85,26882.16928149695,22007,17107825.5954206,8953597524.075085
0.9,28281.51303895633,23302,20592158.561721854,10869385945.140326
0.95,29685.25160813631,24596,26525988.83938454,14146613276.386911
