alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,478.35573283034006,315,26473.86304563934,661900.4044637273
0.55,521.747347938204,347,30337.010314408177,783310.4298888358
0.6,564.35357588695,378,34618.050577563794,923612.7047604885
0.65,606.1931622979055,410,39429.37413780694,1087725.2272370572
0.7,647.7230388142539,441,44950.479354692216,1296347.1577235868
0.75,688.1986100661131,473,51413.4812252937,1538264.4636400554
0.8,728.0973293637012,504,59275.54380380596,1842380.763943977
0.85,767.4249697560281,536,69335.24757312408,2242367.955859086
0.9,806.54650891609,567,83492.01576971047,2815859.2101166276
0.95,846.6529098533368,599,108080.00502727358,3835045.3651357605
