alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,7266.292835672016,5140,1705426.420465669,2702275954.2744904
0.55,7905.16737765403,5654,1950543.4982779294,3114832007.524055
0.6,8529.919181768646,6168,2221506.884666437,3575989633.6372776
0.65,9141.5499645045,6682,2525568.7336460524,4099174960.319768
0.7,9740.225407355658,7196,2872870.5585801825,4702640640.410217
0.75,10326.705702793333,7710,3279490.883556342,5416642532.078205
0.8,10901.740447030425,8224,3772345.370597364,6289787636.94703
0.85,11466.150598978875,8738,4401773.390907078,7413049755.908937
0.9,12021.885367394165,9252,5281646.639672442,8990959546.786144
0.95,12573.857389419276,9766,6778603.690944,11671662477.098299
