alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,3126.527217303943,2032,442137.5281575051,669156406.4374813
0.55,3392.562807434283,2235,504826.546639449,771416345.418558
0.6,3651.5367949995525,2439,574007.3186187515,885814930.7596173
0.65,3903.754210612345,2642,651453.1022382576,1015569409.8195193
0.7,4149.333553897317,2845,739690.3752166477,1165251344.9592392
0.75,4388.829506616454,3048,842818.9778468412,1342219920.9835458
0.8,4622.475774371823,3251,967531.2646777907,1558423125.8630276
0.85,4850.874914651552,3455,1126581.8515126759,1836413201.2944841
0.9,5074.881652681252,3658,1348680.9397219755,2226304118.0902886
0.95,5296.927571619255,3861,1727047.1982510048,2887521627.1740866
