alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,3726.901773886984,3197,378720.1497761313,4679375.673132756
0.55,4089.069794113584,3517,435755.2537904684,5424058.079214695
0.6,4449.45562255911,3836,499379.1045996469,6263110.01474778
0.65,4807.624703180195,4156,571398.4882215237,7221161.1156057995
0.7,5163.91463436006,4476,654451.5902686258,8335266.373875408
0.75,5517.457988308658,4795,752583.8561176569,9660285.740263613
0.8,5869.419787237371,5115,872616.8646375738,11289821.86740256
0.85,6248.713511408131,5435,1022148.6225331032,13567022.925635977
0.9,6605.811583290031,5754,1239520.7842090696,16671252.933513723
0.95,6961.14628655435,6074,1617679.6889455486,22044240.952597357
