alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,1226.611373886263,799,108872.34676343556,14458184.291271228
0.55,1334.9614093312944,879,124572.22555682255,17250103.01703424
0.6,1440.5916144202586,959,141882.6458425875,20491534.894106958
0.65,1543.8724070526732,1039,161289.96728930605,24308392.22438807
0.7,1644.8274994698143,1119,183433.2938403793,28870732.161231976
0.75,1743.5945156492226,1199,209328.05373164403,34444181.0394541
0.8,1840.4547192162577,1279,240717.69052158695,41478769.45535202
0.85,1935.973014123041,1359,280812.9918830263,51108531.82950493
0.9,2029.9853722524288,1439,336898.935546216,64706769.94008893
0.95,2124.4760651812717,1519,432998.94429562177,88399010.09686825
