alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,7590.182467124265,5140,1744121.6358384285,15575652851.314726
0.55,8244.729359579094,5654,1992495.226981629,17953727678.651566
0.6,8883.030590674669,6168,2266618.76417788,20613723729.655025
0.65,9506.292343627994,6682,2573743.3392032376,23631108094.363594
0.7,10114.58827480505,7196,2923966.637829217,27070883962.054005
0.75,10709.866167089293,7710,3333495.1932889665,31234918341.604534
0.8,11292.113712286739,8224,3829121.3529224624,36277287011.63236
0.85,11862.854251045861,8738,4461210.673549143,42773507674.70164
0.9,12424.305672209668,9252,5343623.130180161,51921529509.68673
0.95,12981.574035726082,9766,6842926.590734594,67551563468.62265
