trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,113033,0,55628240,0,0.44229987636208534,4.106115810573101,0,125770417.25071697
1,113027,0,55629102,0,0.440307155251503,4.119831919670105,0,126341580.72726461
2,113129,0,55654210,0,0.44117387756705284,4.131016090512276,0,126150284.11681348
3,113072,0,55642497,0,0.4395147077739239,4.128338489681482,0,126599852.10010584
4,113175,0,55639479,0,0.4416280463337898,4.136640232056379,0,125987195.47342053
5,112945,0,55608371,0,0.44078225269913673,4.110601436346769,0,126158371.07660598
6,113113,0,55643728,0,0.4399750120937824,4.11814883723855,0,126470200.5125221
7,112997,0,55609337,0,0.4400579482316971,4.128274466842413,0,126368214.05784689
8,113044,0,55617108,0,0.4381949044764042,4.104375001043081,0,126923219.39812711
9,112992,0,55598956,0,0.4405301660299301,4.132890209555626,0,126209191.30478467
