trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,104609,0,53994064,0,0.420221671462059,3.9105426482856274,0,128489479.87889534
1,104302,0,53989369,0,0.42309561744332314,3.9362348951399326,0,127605597.34994723
2,104649,0,53933172,0,0.42018621787428856,3.915200863033533,0,128355404.59381689
3,104407,0,53923964,0,0.4202268011868,3.9194062873721123,0,128321096.72136219
4,104828,0,53934106,0,0.41903696581721306,3.9323118925094604,0,128709661.43718797
5,104884,0,53979173,0,0.4207509532570839,3.9243490397930145,0,128292455.6252118
6,104657,0,53987943,0,0.42015790939331055,3.9295486137270927,0,128494410.77512072
7,104752,0,53886483,0,0.41820257529616356,3.921521671116352,0,128852585.28558452
8,104341,0,53938649,0,0.4186682924628258,3.9277266524732113,0,128833852.4102331
9,104717,0,53936241,0,0.4194642975926399,3.9375862404704094,0,128583627.52097638
