alpha,optimiser_mt,trial_1,optimiser_cost,cost_1
0.5,7270.983917439589,7057,7225636.496974929,7489360.071003048
0.55,7907.039818465011,7691,8329984.82262271,8803827.831809364
0.6,8528.445121940342,8309,9562795.969343726,10322215.590537544
0.65,9136.317883513519,8943,10963639.422884436,12158063.168398447
0.7,9730.7882441174,9557,12581208.356826963,14411680.740094207
0.75,10312.72199836839,10171,14496456.43687206,17296572.66763646
0.8,10882.817814326962,10741,16843839.972812634,21186133.33416459
0.85,11441.970857298002,11319,19874850.88162224,27022863.877666943
0.9,11992.056040004361,11894,24158097.14689744,37259208.85369909
0.95,12538.042122294777,12428,31523979.286977123,63651308.68703242
