alpha,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10
0.5,1274,1263,1274,1265,1262,1277,1272,1271,1276,1265,499369.22381546133,496489.7367691881,499770.4291354946,498940.3082571349,497693.21591853694,499968.0167636464,498499.67200055416,499067.56130507065,500266.77161263506,497997.4639789415
0.55,1389,1393,1396,1398,1401,1406,1393,1393,1400,1395,579961.9801191465,578438.0105292324,579204.7845663618,581424.3242587973,579890.3328484345,581976.2413410917,580474.7243003602,578906.2461900803,582020.6026600166,580291.4637018564
0.6,1511,1509,1506,1504,1504,1498,1503,1514,1512,1504,670984.9691742865,670385.2756996397,670975.6989470767,671288.4154197839,670213.3738570241,669072.1661124965,669037.849127182,674018.5241756719,672111.0099750622,669792.5682321973
0.65,1613,1617,1612,1627,1614,1619,1627,1609,1622,1620,777872.5387919091,776723.4237323358,777745.221668052,778354.5628983098,776248.2765308949,776637.9204765862,780250.290592962,774917.2707121086,777892.9374480465,777889.2868523136
0.7,1714,1710,1717,1725,1727,1721,1716,1719,1717,1727,901695.2445275699,903350.3844555278,904797.2759074535,907039.3045164865,905908.3974092546,903483.6554447215,906606.0543086727,904421.7910085896,906082.8848018841,904856.8561235799
0.75,1806,1822,1822,1828,1821,1823,1816,1818,1811,1834,1062272.1910501523,1067476.5326267662,1065673.455250762,1067529.8022305346,1062642.5083125518,1066548.070795234,1066726.782003325,1065630.4360626212,1064524.0925464118,1067296.3875034635
0.8,1918,1918,1909,1915,1919,1931,1923,1912,1913,1922,1282310.3349265724,1277711.709961208,1279061.003394292,1278546.6850235523,1282284.4274729842,1283746.8391521196,1279418.3825159324,1283350.8620809088,1277964.8843169853,1278321.1585619284
0.85,2004,2007,2000,2003,2018,2013,2004,2003,2015,2012,1596758.5473815459,1596266.3715710724,1597758.0157245775,1598170.1832224992,1602159.5587420338,1599665.665004156,1599548.7056663895,1599060.9164588528,1598244.2532557496,1595876.8367276252
0.9,2104,2112,2107,2104,2101,2099,2101,2103,2085,2104,2162900.29648102,2163667.4151426987,2161275.0696176225,2162995.0301330006,2161639.723954004,2162386.6309919646,2163346.957605985,2162660.4516486563,2159322.968966473,2163094.0828484343
0.95,2179,2175,2171,2176,2163,2172,2182,2180,2179,2168,3643662.7441812134,3642033.8719174284,3640758.168814076,3641226.125658077,3638019.7509697974,3643177.715433638,3644832.7531864783,3643039.901981158,3640746.276669437,3641154.610002771
