alpha,optimiser_mt,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,optimiser_cost,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10
0.5,1357.5185061133889,1260,1256,1266,1268,1267,1272,1263,1276,1267,1261,447810.8369867504,442052.34760321415,442107.3004987531,444215.3290385148,445303.0628290385,444866.07889997226,443997.4518564699,443190.10044333606,445646.95137157105,444185.824674425,443712.8941535051
0.55,1467.330508398809,1387,1386,1386,1391,1378,1398,1394,1397,1386,1391,516693.47634589864,524098.16396508727,525379.0208506512,524775.8464948739,524361.786159601,523562.97069825436,527184.6785813244,526420.8364505402,526671.4633555,525760.9739540038,526704.8902050429
0.6,1573.0517362877872,1498,1499,1491,1495,1506,1511,1496,1494,1499,1493,593677.7665920008,619650.2521474091,620978.8144222776,617538.6336242727,619331.8138681075,621143.4098780826,621222.8363119977,619021.0179412579,619774.2338597949,616869.9615544472,619582.1221252424
0.65,1675.1828987042827,1614,1610,1601,1614,1614,1607,1621,1621,1622,1615,681170.8414717594,732908.7157107231,730918.0344278193,730867.5997506233,734338.5092823496,731351.6916043225,730754.3758658908,733451.5911609863,732572.8643668606,732507.3198947076,733019.9099473538
0.7,1773.85470628467,1733,1713,1722,1719,1725,1732,1721,1712,1716,1713,782374.1995847747,870694.4132723745,869113.5840953172,872193.0313106123,871213.8698392906,870705.8326406206,874144.3059019118,869285.4409116098,868434.8226655583,869294.1708229426,868198.2578276531
0.75,1869.2958903608014,1815,1824,1817,1831,1820,1837,1824,1814,1817,1817,902360.2347042593,1046656.2707813798,1049329.5303408145,1045547.9634247713,1047954.3294541424,1046952.554377944,1050751.7629537266,1048521.4879467996,1046028.9138265447,1047568.9664727071,1047714.2006095871
0.8,1961.8185170099823,1933,1922,1906,1903,1912,1925,1924,1932,1914,1921,1049826.7386888957,1288622.5457190357,1288678.561928512,1287203.8996259351,1284865.8142837351,1288668.2664865614,1288666.5641451925,1288918.0794541424,1287967.2897617067,1285073.0843031309,1286469.040592962
0.85,2051.584320511698,2011,2004,2008,2004,2027,2019,2009,2009,2027,2007,1240678.450651316,1645912.1512191743,1644080.9168052091,1641823.9463840397,1642763.8570241062,1644466.2953726794,1645166.4495012467,1642837.3954003877,1645615.3151842616,1645533.1230950402,1644130.3539761705
0.9,2139.074790268991,2105,2098,2092,2110,2105,2115,2097,2111,2098,2088,1511505.6450055607,2275137.502078138,2270508.735453034,2271576.2922554724,2274168.3364505405,2275129.8441396505,2269967.449778332,2272890.080701025,2273362.950609587,2272995.911609864,2267208.8376281518
0.95,2225.4258232818975,2203,2203,2200,2189,2195,2200,2195,2189,2183,2193,1982048.8547655647,3893326.3057633694,3895543.3897894155,3899147.7556109726,3893887.6021751175,3890417.5100443335,3894168.220074813,3891888.287960654,3893872.9807425877,3891596.8516209475,3894605.0602660016
