Trial,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Column_78,Column_79,Column_80,Column_81
Trial_1,1954,1924,1912,1899,1885,1872,1860,1848,1838,1826,1814,1803,1793,1784,1774,1765,1755,1744,1736,1727,1719,1711,1703,1693,1684,1676,1668,1662,1655,1647,1639,1630,1621,1616,1610,1603,1597,1590,1583,1576,1570,1563,1557,1553,1546,1539,1533,1531,1525,1519,1514,1508,1502,1496,1492,1488,1483,1477,1473,1468,1462,1456,1450,1445,1441,1437,1432,1427,1424,1420,1416,1413,1409,1406,1403,1398,1393,1390,1388,1383,1379
Trial_2,1954,1922,1910,1900,1887,1874,1861,1850,1839,1828,1816,1809,1801,1790,1779,1769,1759,1752,1742,1734,1725,1718,1715,1706,1701,1693,1685,1678,1670,1663,1656,1648,1642,1636,1627,1620,1613,1608,1601,1594,1587,1580,1574,1569,1561,1555,1552,1547,1541,1535,1529,1525,1519,1514,1507,1501,1496,1493,1490,1485,1481,1476,1470,1466,1462,1456,1452,1449,1444,1440,1437,1432,1428,1424,1420,1416,1411,1406,1402,1399,1396
Trial_3,1954,1919,1906,1894,1883,1871,1859,1846,1834,1822,1812,1802,1792,1782,1772,1762,1751,1741,1732,1722,1714,1706,1696,1688,1680,1674,1668,1661,1652,1645,1637,1629,1621,1613,1605,1597,1593,1588,1581,1575,1570,1563,1556,1549,1544,1539,1535,1527,1521,1515,1509,1505,1498,1494,1488,1484,1478,1473,1468,1464,1459,1454,1449,1445,1443,1437,1434,1429,1424,1419,1417,1413,1409,1405,1401,1400,1397,1394,1389,1384,1382
Trial_4,1954,1930,1915,1901,1888,1881,1868,1856,1844,1831,1819,1808,1797,1788,1779,1771,1762,1752,1742,1733,1726,1718,1710,1701,1691,1682,1673,1664,1657,1650,1645,1641,1633,1625,1618,1613,1606,1599,1591,1585,1580,1574,1568,1563,1556,1550,1544,1537,1531,1525,1520,1516,1510,1505,1499,1494,1490,1484,1480,1476,1471,1467,1462,1457,1451,1446,1441,1435,1432,1427,1423,1418,1415,1411,1408,1405,1401,1398,1393,1388,1385
Trial_5,1954,1930,1921,1908,1896,1885,1873,1860,1850,1839,1828,1817,1806,1797,1787,1776,1767,1757,1747,1740,1729,1723,1715,1708,1700,1691,1683,1676,1668,1662,1654,1647,1640,1634,1626,1620,1613,1606,1599,1591,1584,1578,1571,1564,1557,1553,1547,1540,1533,1527,1520,1514,1508,1503,1497,1491,1486,1481,1477,1471,1466,1460,1457,1453,1447,1442,1438,1434,1432,1429,1424,1420,1416,1411,1407,1403,1399,1396,1392,1388,1385
Trial_6,1954,1935,1922,1911,1897,1888,1874,1866,1855,1843,1834,1825,1814,1804,1793,1784,1774,1765,1755,1745,1735,1726,1716,1707,1698,1690,1684,1676,1666,1659,1652,1645,1638,1630,1624,1617,1611,1603,1597,1590,1582,1576,1570,1563,1556,1550,1545,1538,1531,1525,1520,1514,1511,1506,1501,1496,1490,1485,1480,1476,1470,1466,1462,1457,1453,1449,1445,1441,1438,1433,1428,1423,1417,1413,1409,1405,1401,1399,1395,1392,1388
Trial_7,1954,1923,1909,1897,1885,1875,1864,1850,1838,1826,1815,1805,1793,1786,1776,1766,1758,1751,1742,1733,1725,1717,1708,1699,1691,1683,1676,1669,1663,1656,1647,1642,1636,1630,1623,1615,1608,1600,1592,1586,1580,1573,1567,1562,1556,1551,1544,1537,1533,1528,1524,1519,1513,1508,1502,1497,1491,1486,1481,1475,1471,1466,1462,1457,1453,1449,1444,1439,1438,1434,1430,1425,1421,1416,1411,1407,1403,1399,1396,1391,1389
Trial_8,1954,1924,1910,1897,1885,1875,1863,1853,1842,1831,1822,1811,1802,1792,1782,1772,1762,1753,1744,1735,1727,1718,1710,1703,1695,1686,1677,1668,1662,1654,1646,1637,1630,1624,1617,1609,1604,1597,1591,1585,1577,1570,1564,1557,1551,1545,1539,1533,1528,1523,1518,1513,1507,1502,1497,1491,1487,1481,1478,1473,1470,1467,1462,1457,1454,1449,1444,1438,1433,1429,1424,1421,1417,1413,1409,1405,1402,1399,1394,1391,1387
Trial_9,1954,1926,1914,1903,1891,1879,1868,1855,1844,1833,1824,1814,1802,1793,1783,1770,1760,1753,1745,1734,1725,1716,1709,1701,1691,1685,1679,1669,1661,1653,1647,1638,1630,1624,1616,1609,1605,1598,1590,1583,1575,1568,1563,1557,1551,1546,1540,1534,1528,1523,1516,1510,1504,1499,1494,1490,1485,1480,1475,1470,1465,1461,1458,1455,1450,1445,1441,1437,1431,1426,1422,1417,1411,1408,1404,1401,1397,1394,1391,1388,1384
Trial_10,1954,1924,1910,1895,1884,1870,1859,1848,1838,1825,1814,1803,1791,1781,1772,1762,1755,1745,1735,1726,1719,1711,1705,1696,1687,1677,1671,1663,1655,1648,1640,1633,1626,1618,1611,1604,1598,1593,1586,1579,1573,1566,1559,1553,1546,1540,1534,1529,1522,1515,1508,1504,1497,1492,1487,1481,1476,1473,1467,1462,1457,1453,1447,1444,1439,1434,1430,1426,1422,1419,1415,1411,1406,1401,1397,1393,1389,1386,1382,1377,1374
Trial_11,1954,1917,1906,1892,1882,1869,1855,1843,1831,1819,1810,1800,1790,1779,1769,1759,1749,1742,1735,1725,1717,1708,1701,1691,1683,1675,1669,1661,1655,1648,1640,1632,1623,1616,1611,1604,1598,1592,1587,1580,1573,1568,1563,1557,1552,1546,1540,1535,1529,1526,1521,1517,1511,1505,1501,1495,1490,1486,1480,1474,1468,1463,1459,1455,1450,1444,1441,1436,1431,1427,1422,1417,1412,1409,1405,1403,1399,1395,1393,1388,1384
Trial_12,1954,1921,1910,1898,1887,1874,1862,1852,1841,1830,1821,1809,1803,1795,1785,1775,1764,1754,1745,1737,1728,1719,1710,1702,1694,1685,1676,1668,1660,1652,1644,1637,1628,1621,1616,1608,1601,1594,1590,1583,1576,1570,1563,1560,1554,1548,1541,1536,1532,1526,1520,1516,1511,1504,1499,1493,1489,1484,1479,1475,1469,1464,1461,1458,1453,1451,1447,1443,1438,1434,1429,1425,1419,1416,1411,1407,1402,1399,1396,1392,1387
Trial_13,1954,1926,1913,1899,1886,1877,1865,1856,1846,1834,1822,1811,1799,1789,1781,1770,1759,1750,1742,1733,1726,1717,1708,1702,1694,1686,1677,1668,1663,1656,1649,1641,1635,1629,1621,1612,1605,1600,1594,1586,1580,1574,1567,1561,1555,1549,1543,1536,1530,1526,1519,1514,1508,1504,1500,1494,1489,1484,1478,1474,1468,1463,1458,1453,1448,1443,1439,1435,1430,1426,1421,1417,1413,1409,1407,1403,1399,1395,1392,1389,1384
Trial_14,1954,1918,1905,1893,1880,1868,1858,1849,1838,1826,1818,1807,1795,1783,1774,1763,1753,1744,1734,1726,1718,1712,1703,1695,1687,1679,1673,1666,1658,1652,1647,1640,1632,1625,1617,1611,1604,1598,1591,1584,1577,1571,1563,1557,1553,1546,1540,1533,1528,1522,1517,1511,1505,1499,1496,1491,1485,1481,1476,1471,1465,1461,1459,1456,1451,1447,1442,1437,1431,1427,1423,1419,1414,1411,1406,1401,1397,1393,1389,1386,1384
Trial_15,1954,1916,1904,1890,1878,1865,1854,1844,1833,1823,1812,1801,1792,1781,1772,1764,1754,1746,1737,1727,1717,1708,1699,1691,1685,1677,1669,1661,1653,1646,1639,1631,1625,1618,1612,1605,1599,1591,1584,1578,1574,1568,1562,1557,1551,1546,1541,1536,1531,1525,1520,1516,1512,1506,1501,1496,1492,1487,1482,1476,1473,1468,1463,1458,1454,1449,1444,1439,1433,1428,1423,1419,1417,1413,1410,1406,1404,1401,1397,1392,1388
Trial_16,1954,1924,1912,1898,1888,1878,1865,1854,1844,1835,1825,1813,1803,1793,1782,1772,1761,1752,1747,1739,1733,1723,1713,1705,1696,1688,1681,1673,1665,1656,1648,1640,1634,1627,1621,1614,1606,1598,1593,1587,1581,1574,1569,1563,1557,1552,1547,1542,1536,1531,1526,1520,1514,1511,1505,1501,1498,1493,1488,1484,1479,1474,1470,1465,1463,1459,1453,1450,1447,1443,1439,1434,1428,1424,1419,1416,1411,1406,1403,1400,1396
Trial_17,1954,1923,1914,1900,1890,1879,1868,1855,1843,1832,1820,1810,1799,1788,1777,1768,1758,1749,1740,1731,1723,1714,1705,1697,1688,1680,1673,1664,1658,1650,1644,1637,1628,1620,1613,1607,1601,1594,1587,1580,1573,1568,1562,1556,1549,1543,1538,1533,1527,1522,1516,1511,1505,1499,1494,1490,1484,1479,1473,1467,1464,1459,1454,1449,1444,1440,1436,1431,1427,1425,1423,1419,1415,1412,1408,1404,1399,1396,1392,1389,1384
Trial_18,1954,1924,1909,1898,1886,1878,1866,1855,1847,1837,1828,1817,1807,1795,1786,1776,1768,1760,1750,1741,1731,1724,1717,1708,1698,1689,1680,1673,1669,1662,1653,1646,1641,1634,1626,1618,1610,1603,1596,1594,1587,1581,1574,1567,1562,1556,1550,1545,1540,1535,1529,1522,1516,1512,1507,1502,1497,1490,1485,1480,1474,1469,1465,1460,1457,1451,1449,1444,1441,1437,1432,1427,1423,1419,1418,1415,1412,1407,1405,1402,1399
Trial_19,1954,1929,1917,1902,1889,1878,1867,1855,1843,1832,1819,1808,1797,1787,1778,1768,1758,1749,1740,1729,1721,1713,1703,1693,1687,1680,1672,1663,1654,1645,1639,1635,1630,1622,1615,1608,1600,1594,1586,1579,1573,1567,1560,1555,1550,1545,1540,1533,1528,1522,1517,1511,1505,1501,1497,1492,1490,1485,1480,1474,1470,1466,1462,1459,1454,1449,1445,1441,1437,1432,1428,1425,1420,1416,1411,1406,1401,1397,1393,1389,1386
Trial_20,1954,1931,1920,1910,1898,1886,1874,1860,1848,1836,1824,1814,1802,1792,1780,1770,1760,1751,1744,1735,1726,1716,1707,1700,1693,1684,1677,1670,1661,1656,1647,1639,1630,1622,1614,1606,1599,1591,1585,1579,1572,1566,1559,1554,1547,1542,1536,1530,1525,1519,1513,1508,1502,1498,1494,1490,1485,1481,1476,1473,1467,1462,1457,1451,1447,1443,1439,1434,1430,1426,1423,1421,1416,1411,1407,1402,1398,1395,1392,1387,1382
