alpha,optimiser_mt,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,optimiser_cost,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20
0.5,1357.5185061133889,1262,1262,1270,1257,1268,1259,1267,1267,1266,1275,1269,1274,1268,1265,1259,1264,1266,1272,1281,1268,447810.8369867504,443383.3014685508,444355.0994042671,444071.3937378775,443842.3188556387,444029.1538514824,443831.1973538376,445248.2259628706,444034.22104461066,445318.5570795234,445994.7866444998,443834.2175810473,445964.8008451094,444290.81220559706,444791.3594486007,443373.7662787475,444051.5250069271,444405.6241341091,444131.3376281518,446911.6853699085,445744.4662648933
0.55,1467.330508398809,1379,1396,1382,1385,1385,1388,1389,1387,1384,1374,1384,1387,1384,1384,1388,1396,1384,1399,1386,1382,516693.47634589864,523851.59289276804,527170.7862288723,523395.3740648379,525555.7699501247,526175.8759351621,526684.624896093,525775.7616375727,525455.3768356885,525175.1451233028,523513.3291770573,524485.7280410086,525660.7799944582,525465.8939456913,524765.6030063729,524813.4088390135,526880.9500554169,524762.3403297311,527077.3843169853,525193.7548489886,525107.8723330563
0.6,1573.0517362877872,1503,1503,1496,1503,1506,1504,1509,1498,1514,1503,1492,1516,1506,1506,1506,1511,1501,1506,1510,1501,593677.7665920008,619747.1453311166,618543.1414519257,618469.1389581601,619907.8910362981,619231.1713771127,620228.7330285397,620762.1806594625,620164.7679412579,621095.9019118869,620739.1895261845,617075.9829592684,622619.497436963,619894.2636464394,622249.2477140483,621497.0691327237,621333.2114159046,619664.7991133278,619315.580146855,621204.8292463286,618777.3926295373
0.65,1675.1828987042827,1622,1615,1610,1602,1613,1617,1597,1607,1620,1619,1603,1616,1616,1615,1614,1612,1608,1611,1619,1615,681170.8414717594,734179.0347049043,734193.50547243,730740.7224993072,730320.9853837627,732995.4312136325,732311.2926018287,729098.6523275145,732734.7651704072,733746.1291216402,732117.3832779163,731627.1401357716,733496.2122471598,733484.6820448877,732231.0210584649,732482.1848157384,733826.3504433361,732748.9536575228,731729.2044195067,733744.6623025768,732137.9343308395
0.7,1773.85470628467,1723,1719,1716,1725,1713,1720,1712,1714,1720,1709,1711,1717,1714,1711,1710,1718,1711,1729,1720,1735,782374.1995847747,873176.6244111942,868682.7410640066,870596.5364366861,872832.3219728456,870159.7274175672,871391.2233305625,868492.724785259,870315.3349265724,870506.4075921307,869418.6530202272,870237.0532003324,872207.4726378497,868721.4983374896,868002.0850651149,870511.9285120531,871057.3410224438,868447.1962454973,871414.044749238,871377.5716957606,874652.008866722
0.75,1869.2958903608014,1815,1815,1816,1831,1818,1824,1827,1836,1820,1833,1811,1820,1817,1828,1810,1834,1819,1810,1829,1826,902360.2347042593,1046566.7619146578,1046540.4544195067,1045960.4028124134,1051758.7247159877,1045101.7213909669,1048885.2521474091,1048453.3596564145,1049924.6830839566,1048081.7297035189,1048142.7559573288,1045453.8722637849,1046992.2970351897,1047364.9816431144,1048409.0554862842,1043069.3232197284,1050467.2658631199,1047976.8079800499,1044591.9247021335,1051316.9004571903,1047815.7747991133
0.8,1961.8185170099823,1916,1916,1914,1926,1916,1922,1934,1919,1926,1909,1915,1920,1921,1919,1910,1924,1924,1910,1908,1912,1049826.7386888957,1286281.0868661678,1285460.9947353837,1286086.891798282,1289726.7556802437,1285705.8859794955,1287886.4657799944,1292461.7775006928,1287288.4867691882,1283764.3232197284,1285787.9135494595,1287574.9425048488,1285031.3881961762,1288827.470906068,1286491.7875450263,1283557.9208229426,1287444.1393045164,1287144.3730950402,1284371.584580216,1283995.2926711,1285894.625935162
0.85,2051.584320511698,2013,2027,2012,2018,2012,2015,2013,2027,2028,1999,2025,2008,2012,2017,2021,2032,2008,2007,2008,2010,1240678.450651316,1646166.9794264338,1645228.0541701303,1643191.9932806871,1642289.1808672762,1644059.6297450815,1643815.6338320863,1643712.4871848156,1646715.2008866721,1645712.7850512606,1641687.5374064837,1647811.3840399003,1643351.1526738708,1643377.716472707,1646507.9343308394,1645331.6372263785,1646966.2555417013,1642823.111665281,1646259.047866445,1644089.625935162,1643238.363466334
0.9,2139.074790268991,2100,2092,2118,2104,2108,2096,2101,2104,2095,2101,2118,2110,2101,2092,2102,2097,2098,2080,2099,2105,1511505.6450055607,2271690.491133278,2271476.7355915764,2272224.143114436,2272348.0901911883,2272919.1365336655,2269277.9513022997,2266735.6992934328,2271584.319063452,2269417.162302577,2273003.5123995566,2274688.4424355775,2271740.98469105,2274821.9489470767,2273020.45788307,2266810.1399279577,2268866.2184815737,2269125.3415073426,2267530.2268633973,2272077.456012746,2271402.580701025
0.95,2225.4258232818975,2199,2200,2192,2195,2202,2194,2190,2201,2204,2197,2195,2201,2190,2196,2202,2205,2198,2205,2205,2195,1982048.8547655647,3893111.758797451,3894476.051191466,3894083.134178443,3893910.2227071207,3892693.9283735105,3895470.84026046,3892844.3561235797,3892851.1724161813,3894115.854461069,3896890.594693821,3894199.227625381,3897013.436893876,3891492.1342477137,3890164.9487392628,3894897.663826545,3895485.6192851206,3896870.7917705737,3895712.690495982,3894732.538445553,3892136.408977556
