Trial,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Column_78,Column_79,Column_80,Column_81
Trial_1,3730,3640,3570,3503,3442,3381,3320,3268,3218,3166,3117,3067,3025,2984,2941,2899,2860,2829,2793,2757,2722,2687,2653,2623,2597,2568,2541,2513,2487,2461,2434,2412,2389,2368,2345,2325,2308,2287,2269,2249,2232,2212,2193,2172,2153,2137,2121,2104,2088,2072,2058,2042,2025,2008,1998,1984,1969,1955,1941,1928,1916,1904,1891,1879,1867,1857,1847,1836,1826,1818,1807,1796,1786,1777,1768,1758,1748,1740,1732,1723,1716
Trial_2,3730,3619,3546,3481,3423,3366,3306,3255,3198,3151,3100,3050,3004,2964,2923,2883,2845,2807,2776,2740,2708,2674,2645,2615,2583,2556,2529,2500,2472,2447,2420,2394,2372,2351,2327,2303,2279,2258,2239,2221,2206,2189,2169,2152,2134,2118,2103,2087,2071,2055,2040,2025,2013,1998,1984,1970,1957,1944,1932,1919,1906,1894,1883,1872,1861,1849,1840,1829,1819,1810,1799,1788,1779,1770,1763,1754,1750,1741,1732,1727,1719
Trial_3,3730,3624,3552,3491,3437,3375,3314,3260,3209,3161,3112,3062,3017,2975,2933,2894,2855,2819,2782,2746,2713,2677,2647,2618,2591,2563,2537,2509,2483,2458,2434,2408,2387,2365,2341,2319,2297,2275,2254,2235,2214,2195,2179,2162,2144,2125,2111,2094,2076,2060,2045,2028,2012,1998,1986,1972,1958,1943,1930,1919,1908,1897,1887,1876,1863,1852,1840,1830,1823,1812,1802,1791,1781,1771,1761,1750,1740,1732,1726,1716,1706
Trial_4,3730,3640,3576,3515,3455,3393,3340,3281,3231,3177,3127,3082,3039,2992,2945,2905,2867,2825,2789,2754,2716,2683,2647,2615,2586,2557,2532,2506,2476,2453,2426,2407,2385,2362,2338,2319,2296,2277,2257,2238,2221,2202,2183,2165,2153,2135,2122,2106,2088,2073,2057,2041,2028,2012,1998,1986,1973,1959,1947,1934,1920,1909,1895,1884,1872,1861,1848,1839,1827,1815,1804,1793,1783,1771,1761,1752,1744,1736,1727,1719,1711
Trial_5,3730,3622,3550,3486,3422,3361,3305,3252,3199,3151,3099,3049,3009,2964,2925,2882,2842,2807,2769,2738,2704,2670,2641,2612,2581,2550,2522,2499,2471,2445,2421,2394,2372,2349,2327,2305,2283,2264,2243,2222,2204,2186,2167,2152,2134,2115,2097,2081,2064,2052,2037,2021,2006,1995,1979,1965,1954,1938,1925,1913,1899,1887,1875,1865,1853,1843,1832,1821,1810,1798,1790,1780,1771,1762,1753,1744,1735,1726,1718,1710,1702
Trial_6,3730,3632,3559,3490,3428,3368,3313,3255,3210,3157,3108,3061,3017,2972,2929,2889,2849,2815,2782,2746,2713,2678,2645,2614,2584,2554,2525,2502,2473,2447,2421,2399,2376,2353,2330,2306,2292,2273,2254,2235,2217,2198,2180,2163,2147,2128,2112,2095,2079,2066,2054,2037,2023,2009,1995,1981,1966,1953,1940,1930,1917,1903,1893,1881,1869,1859,1850,1839,1827,1817,1806,1796,1788,1780,1771,1760,1750,1740,1731,1723,1715
Trial_7,3730,3639,3570,3506,3443,3380,3323,3266,3211,3159,3108,3060,3016,2971,2928,2884,2845,2809,2772,2736,2699,2664,2633,2601,2572,2544,2516,2488,2463,2437,2412,2390,2365,2344,2319,2300,2280,2260,2241,2222,2203,2184,2169,2152,2134,2120,2103,2086,2070,2055,2039,2026,2011,1997,1981,1967,1955,1942,1931,1918,1907,1896,1885,1872,1860,1849,1839,1827,1817,1808,1796,1787,1778,1768,1760,1751,1742,1733,1725,1717,1707
Trial_8,3730,3634,3565,3500,3437,3385,3333,3274,3220,3166,3116,3067,3021,2978,2933,2894,2862,2823,2784,2752,2716,2684,2651,2621,2590,2564,2539,2518,2493,2465,2439,2413,2387,2363,2338,2318,2295,2275,2256,2234,2216,2198,2179,2160,2141,2124,2108,2095,2077,2064,2046,2029,2016,2003,1991,1979,1964,1953,1939,1927,1917,1906,1894,1883,1871,1860,1850,1841,1829,1820,1809,1800,1791,1781,1772,1764,1754,1745,1736,1727,1719
Trial_9,3730,3628,3556,3490,3433,3371,3315,3261,3207,3154,3108,3058,3013,2968,2925,2883,2844,2808,2775,2743,2709,2677,2646,2620,2589,2558,2532,2507,2478,2453,2428,2405,2381,2355,2330,2308,2286,2264,2242,2222,2205,2187,2170,2152,2134,2115,2102,2086,2069,2054,2037,2024,2009,1994,1981,1967,1957,1943,1933,1920,1908,1895,1883,1874,1864,1852,1845,1835,1824,1815,1807,1797,1787,1777,1767,1758,1749,1741,1731,1722,1713
Trial_10,3730,3632,3563,3498,3431,3371,3311,3258,3203,3161,3111,3062,3015,2968,2926,2885,2848,2809,2773,2737,2702,2671,2638,2610,2585,2556,2528,2499,2478,2451,2425,2405,2380,2361,2338,2316,2296,2276,2255,2234,2215,2196,2178,2160,2143,2125,2110,2095,2078,2063,2049,2035,2022,2008,1995,1982,1966,1951,1937,1922,1909,1900,1889,1877,1867,1854,1844,1832,1825,1814,1807,1797,1786,1776,1767,1759,1751,1742,1732,1723,1714
Trial_11,3730,3617,3550,3487,3426,3366,3307,3255,3201,3152,3102,3053,3008,2969,2927,2885,2847,2810,2779,2745,2710,2680,2645,2614,2585,2554,2536,2512,2483,2458,2432,2407,2385,2361,2340,2318,2296,2277,2255,2234,2214,2195,2180,2161,2143,2127,2112,2096,2081,2064,2048,2037,2024,2008,1994,1981,1970,1957,1947,1934,1921,1910,1899,1886,1873,1862,1851,1839,1831,1820,1809,1799,1789,1779,1769,1760,1751,1742,1733,1723,1714
Trial_12,3730,3620,3552,3485,3423,3360,3301,3248,3193,3144,3101,3056,3011,2967,2924,2886,2846,2810,2776,2740,2707,2676,2645,2617,2584,2557,2528,2500,2473,2452,2430,2404,2380,2358,2338,2316,2293,2276,2258,2238,2217,2198,2179,2162,2146,2128,2111,2095,2078,2063,2046,2031,2019,2005,1991,1975,1961,1948,1935,1921,1909,1897,1887,1876,1864,1855,1845,1833,1824,1814,1803,1792,1782,1773,1764,1755,1747,1736,1727,1718,1714
