alpha,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10
0.5,5212,5152,5172,5171,5208,5143,5185,5187,5197,5133,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560
0.55,5809,5686,5668,5725,5710,5686,5627,5701,5660,5714,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130
0.6,6284,6212,6174,6118,6245,6229,6181,6253,6253,6205,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840
0.65,6777,6746,6736,6670,6777,6713,6755,6707,6716,6732,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584
0.7,7193,7178,7210,7244,7156,7218,7292,7215,7286,7244,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374
0.75,7787,7781,7848,7768,7745,7767,7791,7768,7780,7778,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680
0.8,8316,8355,8289,8245,8287,8290,8244,8285,8325,8291,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442
0.85,8815,8836,8788,8815,8811,8752,8875,8800,8837,8819,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308
0.9,9316,9309,9325,9339,9338,9317,9312,9323,9326,9341,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242
0.95,9858,9847,9859,9864,9824,9840,9830,9849,9851,9864,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246
