alpha,optimiser_mt,trial_1,optimiser_cost,cost_1
0.5,1357.5185061133889,1269,447810.8369867504,444832.7057356608
0.55,1467.330508398809,1383,516693.47634589864,525394.0579107786
0.6,1573.0517362877872,1506,593677.7665920008,621264.0960099751
0.65,1675.1828987042827,1612,681170.8414717594,732911.1886949292
0.7,1773.85470628467,1722,782374.1995847747,870976.0685092823
0.75,1869.2958903608014,1828,902360.2347042593,1046311.6341091715
0.8,1961.8185170099823,1916,1049826.7386888957,1287671.0269465225
0.85,2051.584320511698,1999,1240678.450651316,1638587.6932668327
0.9,2139.074790268991,2099,1511505.6450055607,2267937.3462177888
0.95,2225.4258232818975,2193,1982048.8547655647,3894243.3482266553
