startpoint_set_index,actual_mt,hashes,reductions,duration
0,2303,2600800,6413292900,2413.2129583000205
1,2302,2600800,6422192116,2451.271398300014
2,2298,2600800,6412964736,2428.2150761999656
3,2295,2600800,6409588473,2605.4319721999927
4,2314,2600800,6417786289,2480.9459022000083
5,2304,2600800,6423982367,2460.5916348000173
6,2296,2600800,6417281427,2419.5545816000085
7,2298,2600800,6420374381,2437.7601340999827
8,2296,2600800,6428164075,2448.054244800005
9,2297,2600800,6392438443,2424.196003500023
