alpha,optimiser_mt,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,optimiser_cost,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20,cost_21,cost_22,cost_23,cost_24,cost_25,cost_26,cost_27,cost_28,cost_29,cost_30,cost_31,cost_32,cost_33,cost_34,cost_35,cost_36,cost_37,cost_38,cost_39,cost_40,cost_41,cost_42,cost_43,cost_44,cost_45,cost_46,cost_47,cost_48,cost_49,cost_50
0.5,1086.5166434342682,1108,1107,1104,1082,1117,1098,1094,1091,1114,1122,1093,1088,1086,1084,1096,1107,1117,1091,1112,1115,1080,1087,1085,1105,1096,1095,1095,1111,1089,1114,1096,1108,1077,1109,1088,1104,1095,1099,1099,1087,1097,1087,1106,1088,1116,1097,1093,1119,1106,1070,143248.93946749764,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080,260080
0.55,1123.808353976572,1148,1143,1132,1136,1143,1137,1128,1142,1155,1145,1125,1128,1134,1152,1149,1132,1121,1116,1142,1134,1109,1158,1132,1138,1138,1161,1152,1132,1140,1131,1142,1147,1126,1126,1112,1148,1142,1151,1139,1119,1127,1124,1131,1140,1116,1157,1116,1128,1124,1145,152660.74559835473,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960,288960
0.6,1163.7778595416603,1208,1160,1193,1190,1178,1167,1154,1187,1179,1169,1175,1183,1197,1169,1180,1161,1172,1185,1186,1180,1181,1149,1181,1191,1165,1149,1197,1184,1172,1195,1196,1179,1196,1191,1192,1185,1171,1155,1169,1173,1182,1176,1176,1165,1186,1184,1174,1187,1159,1169,163582.4560654786,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120,325120
0.65,1206.5535039487295,1240,1205,1233,1233,1204,1204,1237,1208,1231,1208,1226,1204,1214,1237,1234,1192,1223,1230,1227,1205,1223,1224,1219,1240,1221,1223,1204,1222,1207,1229,1229,1218,1198,1205,1246,1214,1229,1217,1195,1224,1231,1214,1222,1223,1213,1210,1229,1222,1222,1240,176407.52708693472,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520,371520
0.7,1252.5627114094968,1274,1255,1282,1264,1263,1272,1268,1254,1240,1254,1265,1279,1262,1273,1268,1249,1278,1255,1265,1240,1264,1258,1296,1237,1262,1268,1268,1287,1256,1277,1273,1286,1271,1261,1258,1279,1245,1269,1276,1256,1257,1261,1266,1268,1265,1269,1286,1240,1272,1288,191811.47780077902,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440,433440
0.75,1302.118522023251,1321,1316,1293,1315,1321,1304,1303,1327,1321,1309,1319,1323,1315,1330,1315,1306,1301,1316,1323,1332,1328,1298,1318,1303,1307,1295,1329,1317,1299,1308,1314,1308,1305,1337,1296,1310,1317,1300,1290,1309,1328,1322,1313,1311,1318,1322,1310,1342,1304,1335,210791.21292743282,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160,520160
0.8,1355.535489459413,1371,1349,1363,1363,1363,1343,1346,1368,1355,1356,1360,1375,1355,1370,1374,1375,1372,1377,1364,1380,1380,1356,1343,1368,1373,1370,1384,1365,1368,1372,1372,1358,1366,1369,1377,1370,1366,1355,1363,1371,1350,1373,1382,1377,1364,1384,1368,1381,1385,1379,235020.91624617766,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160,650160
0.85,1413.230358388355,1430,1430,1426,1409,1413,1421,1434,1417,1447,1415,1408,1421,1413,1423,1422,1434,1427,1427,1426,1444,1407,1441,1430,1428,1429,1413,1440,1411,1416,1438,1436,1429,1420,1420,1399,1428,1413,1432,1400,1427,1416,1432,1419,1436,1449,1419,1425,1412,1409,1419,267738.9794900946,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960,866960
0.9,1475.3624712210658,1492,1498,1498,1508,1490,1480,1489,1493,1493,1484,1486,1492,1481,1480,1509,1505,1494,1489,1491,1477,1492,1500,1492,1494,1488,1497,1487,1484,1493,1486,1488,1488,1494,1483,1482,1485,1463,1497,1484,1484,1485,1481,1492,1490,1495,1487,1477,1486,1496,1497,316219.5470610607,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400,1300400
0.95,1541.392961175683,1560,1562,1563,1560,1554,1556,1558,1558,1553,1561,1556,1561,1564,1559,1566,1565,1556,1563,1559,1562,1557,1551,1559,1566,1560,1568,1561,1549,1554,1559,1561,1559,1559,1558,1554,1556,1554,1561,1564,1555,1556,1557,1557,1561,1560,1565,1555,1561,1559,1564,404494.0249884667,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800,2600800
