alpha,optimiser_mt,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,optimiser_cost,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20
0.5,6899.941839427571,6941,6920,6884,6887,6883,6909,6840,6903,6913,6941,6914,6905,6913,6838,6901,6885,6887,6927,6868,6919,2293770.831153335,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886,4169886
0.55,7137.88035892183,7151,7130,7107,7104,7209,7094,7153,7104,7127,7213,7091,7160,7143,7075,7142,7216,7140,7188,7165,7160,2443672.8806394553,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072,4633072
0.6,7392.793902541511,7379,7440,7432,7442,7405,7404,7517,7391,7446,7458,7467,7423,7419,7462,7405,7411,7502,7365,7439,7466,2617275.245664713,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206,5212206
0.65,7666.443530709948,7676,7679,7663,7712,7683,7708,7705,7686,7683,7673,7673,7718,7690,7682,7642,7656,7662,7670,7679,7636,2821373.682897165,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778,5956778
0.7,7960.956197034684,7973,8014,8010,7956,7923,7923,7985,7944,8024,7926,7954,8033,8001,7979,7972,8040,7977,7981,7943,7976,3066087.9229190415,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608,6949608
0.75,8278.704664724879,8298,8252,8251,8300,8277,8332,8287,8339,8252,8336,8326,8298,8302,8276,8270,8276,8346,8277,8304,8340,3367164.372481655,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570,8339570
0.8,8622.387662584428,8656,8659,8635,8661,8651,8597,8640,8668,8636,8588,8580,8625,8627,8642,8642,8655,8637,8695,8659,8676,3751159.2577115945,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412,10424412
0.85,8995.035362137482,9002,9027,8992,9028,9028,9015,8992,9029,8987,9031,8978,9021,9010,9018,9023,9019,9040,9070,9035,9045,4268224.7627208205,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216,13899216
0.9,9399.706969112973,9453,9460,9429,9456,9427,9449,9393,9448,9415,9441,9419,9422,9433,9415,9404,9419,9440,9437,9436,9464,5031699.199795118,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026,20849026
0.95,9837.999906975776,9905,9902,9896,9890,9881,9852,9882,9859,9885,9901,9855,9886,9888,9874,9917,9883,9859,9894,9857,9875,6407322.134821463,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850,41697850
