cost_factor,simulated_mt,actual_mt,simulated_cost,hashes,reductions,duration
5,2270,2197,2026772.684054923,2600800,863541440,330.1667381999978
10,2317,2245,4053545.3778719213,2600800,1975300366,761.5884774000006
15,2341,2264,6080318.044399888,2600800,3078534119,1224.3331814000012
20,2358,2277,8107090.755342543,2600800,4189736966,1659.8530087
25,2371,2276,10133863.377056358,2600800,5288083229,2044.2409073000017
30,2381,2291,12160635.978394192,2600800,6403915448,2454.401501399996
35,2389,2309,14187408.752048604,2600800,7532259614,2879.3621624999996
40,2396,2319,16214181.364151185,2600800,8635009738,3378.8662593999998
45,2403,2307,18240953.892105572,2600800,9732285247,3836.0170230999993
50,2408,2310,20267726.903061196,2600800,10837653588,4292.305493600001
55,2413,2327,22294499.540996064,2600800,11956765341,4736.894172999997
60,2418,2320,24321271.97658879,2600800,13082195445,5200.452198999999
65,2422,2341,26348044.20791868,2600800,14216096228,5596.5721560999955
70,2426,2343,28374816.2701877,2600800,15303519108,6027.019450899999
