cost_factor,simulated_mt,actual_mt,simulated_cost,hashes,reductions,duration
35,2270,2197,2026772.684054923,2600800,863541440,321.5865509999999
40,2317,2245,4053545.3778719213,2600800,1975300366,747.3087665
45,2341,2264,6080318.044399888,2600800,3078534119,1167.5077830999999
50,2358,2277,8107090.755342543,2600800,4189736966,1575.9441381000006
55,2371,2276,10133863.377056358,2600800,5288083229,2014.7000933999998
60,2381,2291,12160635.978394192,2600800,6403915448,2444.3164395000003
65,2389,2309,14187408.752048604,2600800,7532259614,2879.3621624999996
70,2396,2319,16214181.364151185,2600800,8635009738,3378.8662593999998
75,2403,2307,18240953.892105572,2600800,9732285247,3836.0170230999993
80,2408,2310,20267726.903061196,2600800,10837653588,4292.305493600001
85,2413,2327,22294499.540996064,2600800,11956765341,4736.894172999997
90,2418,2320,24321271.97658879,2600800,13082195445,5200.452198999999
95,2422,2341,26348044.20791868,2600800,14216096228,5596.5721560999955
100,2426,2343,28374816.2701877,2600800,15303519108,6027.019450899999
