cost_factor,simulated_mt,actual_mt,simulated_cost,hashes,reductions,duration
5,2253,2197,2043809.5752059435,2600800,863541440,330.1667381999978
10,2300,2245,4089961.046191278,2600800,1975300366,761.5884774000006
15,2325,2264,6136241.929485854,2600800,3078534119,1224.3331814000012
20,2341,2277,8182601.636439211,2600800,4189736966,1659.8530087
25,2354,2276,10229040.905807167,2600800,5288083229,2044.2409073000017
30,2364,2291,12275486.731561232,2600800,6403915448,2454.401501399996
35,2372,2309,14321975.448417416,2600800,7532259614,2879.3621625
40,2380,2319,16368541.142204583,2600800,8635009738,3378.8662594
45,2386,2307,18415160.137492027,2600800,9732285247,3836.0170230999993
50,2392,2310,20461637.051991988,2600800,10837653588,4292.305493600001
55,2397,2327,22508256.80393516,2600800,11956765341,4736.894172999997
60,2401,2320,24554854.091059927,2600800,13082195445,5200.452198999999
65,2406,2341,26601489.156165794,2600800,14216096228,5596.572156099996
70,2409,2343,28648240.81460765,2600800,15303519108,6027.019450899999
