column,m_value
0,32510
1,45374
2,21234
3,18199
4,15922
5,14055
6,12632
7,11520
8,10610
9,9829
10,9177
11,8595
12,8076
13,7576
14,7149
15,6764
16,6436
17,6121
18,5820
19,5557
20,5341
21,5134
22,4921
23,4726
24,4569
25,4433
26,4299
27,4147
28,3994
29,3877
30,3756
31,3653
32,3554
33,3470
34,3386
35,3309
36,3223
37,3134
38,3052
39,2997
40,2935
41,2875
42,2828
43,2769
44,2707
45,2650
46,2592
47,2548
48,2487
49,2437
50,2388
51,2348
52,2307
53,2277
54,2242
55,2214
56,2176
57,2139
58,2095
59,2067
60,2042
61,2009
62,1979
63,1956
64,1924
65,1895
66,1869
67,1849
68,1817
69,1784
70,1762
71,1739
72,1717
73,1690
74,1669
75,1648
76,1627
77,1613
78,1590
79,1579
80,1563
