alpha,optimiser_mt,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,optimiser_cost,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20
0.5,808.2080236308757,812,828,814,828,831,806,826,789,807,814,804,822,823,849,797,827,811,802,823,831,88748.9414984909,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840,127840
0.55,889.9723030853711,899,906,894,889,904,893,918,875,913,898,905,898,892,904,918,878,877,906,901,894,102442.6315715272,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320,156320
0.6,971.5997894555112,1006,994,987,978,976,995,975,962,1010,992,980,965,988,1007,976,1003,977,969,994,976,117756.68878067796,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840,191840
0.65,1053.2765956333606,1044,1077,1063,1055,1059,1051,1097,1067,1038,1083,1047,1062,1068,1060,1063,1073,1055,1056,1082,1069,135172.34479283402,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520,237520
0.7,1134.8992705597848,1163,1133,1144,1140,1147,1151,1115,1127,1138,1173,1137,1143,1138,1142,1154,1151,1144,1166,1130,1150,155330.00943002835,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400,298400
0.75,1216.4100132256353,1248,1229,1232,1233,1248,1227,1221,1228,1226,1228,1219,1224,1249,1245,1236,1239,1223,1232,1224,1194,179244.22445758496,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600,383600
0.8,1297.7894768031547,1303,1314,1322,1299,1306,1303,1306,1318,1300,1310,1323,1293,1329,1321,1321,1303,1322,1306,1306,1301,208654.40937872886,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520,511520
0.85,1378.7167555454653,1396,1394,1389,1380,1389,1403,1394,1389,1394,1388,1403,1398,1387,1388,1395,1392,1396,1384,1377,1386,246742.27483144798,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640,724640
0.9,1458.790858438857,1473,1475,1457,1486,1460,1482,1465,1469,1463,1463,1471,1477,1477,1488,1477,1465,1468,1466,1472,1466,300825.86835150805,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880,1150880
0.95,1536.670972621083,1554,1545,1569,1554,1551,1561,1551,1561,1549,1558,1538,1550,1549,1553,1556,1542,1554,1560,1550,1548,394854.81018827204,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600,2429600
