alpha,optimiser_mt,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50
0.5,1086.5166434342682,1092,1101,1104,1102,1105,1104,1099,1111,1117,1099,1116,1094,1110,1096,1095,1124,1085,1101,1086,1100,1084,1095,1104,1090,1100,1096,1105,1108,1091,1114,1109,1119,1084,1111,1106,1105,1110,1083,1086,1119,1105,1109,1102,1113,1117,1112,1113,1109,1107,1092
0.55,1123.808353976572,1138,1131,1142,1135,1147,1139,1125,1133,1152,1124,1130,1142,1153,1153,1164,1146,1134,1117,1124,1137,1125,1133,1133,1107,1140,1126,1113,1146,1116,1110,1132,1147,1115,1133,1149,1143,1108,1143,1126,1133,1143,1134,1143,1142,1140,1150,1128,1152,1139,1138
0.6,1163.7778595416603,1180,1162,1185,1164,1188,1185,1144,1178,1184,1160,1182,1177,1174,1197,1178,1194,1179,1177,1149,1187,1155,1168,1184,1168,1186,1167,1172,1208,1176,1175,1173,1195,1187,1167,1158,1188,1185,1163,1187,1180,1193,1190,1175,1179,1166,1196,1183,1172,1175,1181
0.65,1206.5535039487295,1226,1206,1235,1221,1219,1229,1214,1199,1223,1205,1208,1234,1243,1217,1203,1223,1240,1212,1213,1210,1210,1233,1230,1209,1214,1202,1220,1215,1206,1201,1237,1228,1219,1190,1212,1215,1240,1232,1219,1204,1228,1216,1215,1222,1232,1242,1217,1225,1229,1234
0.7,1252.5627114094968,1256,1274,1284,1244,1262,1260,1284,1252,1256,1273,1254,1265,1258,1259,1248,1272,1255,1265,1267,1240,1283,1268,1281,1277,1268,1270,1276,1269,1282,1265,1244,1246,1267,1289,1270,1260,1275,1264,1253,1281,1258,1259,1274,1263,1242,1280,1268,1253,1251,1275
0.75,1302.118522023251,1307,1287,1310,1319,1316,1316,1311,1325,1311,1318,1319,1297,1309,1324,1330,1308,1302,1300,1312,1296,1326,1321,1322,1313,1313,1307,1328,1323,1328,1316,1310,1336,1330,1311,1317,1314,1312,1311,1304,1300,1311,1310,1312,1347,1310,1319,1317,1302,1331,1332
0.8,1355.535489459413,1359,1362,1360,1366,1363,1377,1373,1364,1365,1367,1361,1359,1362,1370,1359,1355,1361,1364,1374,1356,1367,1373,1360,1365,1363,1375,1372,1355,1368,1353,1380,1386,1394,1358,1375,1367,1365,1362,1374,1363,1381,1365,1375,1364,1371,1366,1367,1361,1368,1382
0.85,1413.230358388355,1427,1431,1442,1426,1423,1421,1421,1431,1434,1423,1407,1416,1414,1427,1414,1432,1434,1429,1435,1421,1430,1423,1423,1445,1413,1443,1423,1428,1436,1438,1415,1432,1440,1422,1422,1426,1423,1418,1429,1429,1412,1433,1431,1416,1416,1422,1416,1409,1423,1431
0.9,1475.3624712210658,1499,1486,1485,1483,1488,1492,1464,1496,1475,1487,1487,1503,1482,1484,1477,1490,1476,1483,1504,1491,1488,1481,1485,1483,1486,1496,1492,1488,1485,1492,1483,1484,1494,1491,1485,1498,1488,1499,1482,1480,1482,1494,1483,1480,1496,1496,1474,1502,1489,1482
0.95,1541.392961175683,1559,1556,1555,1566,1562,1550,1555,1557,1564,1558,1554,1559,1560,1564,1563,1559,1565,1557,1564,1569,1559,1556,1565,1568,1558,1554,1561,1558,1554,1556,1554,1554,1562,1565,1559,1565,1554,1560,1563,1563,1558,1552,1561,1558,1558,1556,1561,1564,1564,1556
