sample_id,alpha,mt,cost
0,0.62,8601,11037456.030479357
1,0.62,8576,11034564.199293433
10,0.62,8587,11029578.011983927
11,0.62,8574,11031767.422139097
12,0.62,8602,11033420.137572734
13,0.62,8590,11026243.405791078
14,0.62,8572,11027046.929966748
15,0.62,8594,11033094.166043226
16,0.62,8546,11007726.34081463
17,0.62,8576,11018424.137988362
18,0.62,8574,11027429.490925465
19,0.62,8597,11028849.456636187
2,0.62,8569,11023710.801537821
3,0.62,8598,11039907.431490716
4,0.62,8595,11045935.365128845
5,0.62,8615,11045277.55479357
6,0.62,8609,11026673.09026046
7,0.62,8590,11035337.140205042
8,0.62,8572,11012671.259767247
9,0.62,8617,11049882.776115267
